sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,196315274500.0,-1.1875,-32.9375,-37.9375
magnetometer,smartphone,197315274500.0,-2.625,-32.5,-38.25
magnetometer,smartphone,198315274500.0,-4.0,-33.1875,-37.1875
magnetometer,smartphone,199315274500.0,-13.125,-37.875,-28.4375
magnetometer,smartphone,200315274500.0,-5.4375,-33.5,-37.3125
magnetometer,smartphone,201315274500.0,-3.75,-33.5625,-37.375
magnetometer,smartphone,202315274500.0,-5.5,-34.9375,-34.5
magnetometer,smartphone,203315274500.0,-6.75,-31.8125,-37.3125
magnetometer,smartphone,204315274500.0,-5.3125,-31.1875,-37.0625
magnetometer,smartphone,205315274500.0,-1.75,-33.0625,-37.375
magnetometer,smartphone,206315274500.0,-4.3125,-31.1875,-38.4375
magnetometer,smartphone,207315274500.0,2.5,-34.4375,-37.375
magnetometer,smartphone,208315274500.0,5.0625,-28.75,-37.0625
magnetometer,smartphone,209315274500.0,0.375,-26.0,-40.75
magnetometer,smartphone,210315274500.0,-2.3125,-29.125,-42.5625
magnetometer,smartphone,211315274500.0,-1.1875,-33.375,-39.8125
magnetometer,smartphone,212315274500.0,-6.5625,-33.875,-21.75
magnetometer,smartphone,213315274500.0,-2.625,-13.5,-31.4375
magnetometer,smartphone,214315274500.0,6.625,-13.8125,-37.0625
magnetometer,smartphone,215315274500.0,6.875,-12.625,-34.5625
magnetometer,smartphone,216315274500.0,3.25,-21.5,-45.625
magnetometer,smartphone,217315274500.0,-1.875,-31.8125,-42.6875
magnetometer,smartphone,218315274500.0,-2.4375,-42.75,-49.0625
magnetometer,smartphone,219315274500.0,-6.25,-42.0,-47.375
magnetometer,smartphone,220315274500.0,-7.0,-51.5625,-45.8125
magnetometer,smartphone,221315274500.0,0.5,-37.875,-40.6875
magnetometer,smartphone,222315274500.0,-6.5625,-42.3125,-27.0625
magnetometer,smartphone,223315274500.0,-2.0,-34.625,-35.75
magnetometer,smartphone,224315274500.0,-5.5,-34.4375,-32.5625
magnetometer,smartphone,225315274500.0,-3.0625,-39.75,-29.25
magnetometer,smartphone,226315274500.0,-2.625,-34.3125,-35.1875
magnetometer,smartphone,227315274500.0,-4.25,-32.4375,-33.625
magnetometer,smartphone,228315274500.0,-4.375,-38.375,-28.125
magnetometer,smartphone,229315274500.0,0.5,-37.0,-34.5
magnetometer,smartphone,230315274500.0,0.9375,-33.125,-33.9375
magnetometer,smartphone,231315274500.0,3.875,-31.3125,-38.75
magnetometer,smartphone,232315274500.0,2.1875,-39.0625,-36.9375
magnetometer,smartphone,233315274500.0,-6.25,-37.25,-31.6875
magnetometer,smartphone,234315274500.0,-2.75,-33.0625,-40.625
magnetometer,smartphone,235315274500.0,-8.375,-32.5625,-32.0
magnetometer,smartphone,236315274500.0,-7.5,-33.1875,-36.125
magnetometer,smartphone,237315274500.0,-8.9375,-35.0625,-29.8125
magnetometer,smartphone,238315274500.0,-6.0625,-31.8125,-36.125
magnetometer,smartphone,239315274500.0,-7.8125,-30.75,-38.25
magnetometer,smartphone,240315274500.0,-8.9375,-30.375,-35.9375
magnetometer,smartphone,241315274500.0,-11.375,-29.4375,-34.125
magnetometer,smartphone,242315274500.0,-7.125,-27.9375,-37.875
magnetometer,smartphone,243315274500.0,-8.875,-30.3125,-33.75
magnetometer,smartphone,244315274500.0,-7.8125,-30.625,-32.375
magnetometer,smartphone,245315274500.0,-5.0,-27.5,-30.625
magnetometer,smartphone,246315274500.0,-6.6875,-37.625,-31.4375
magnetometer,smartphone,247315274500.0,-9.375,-33.25,-34.8125
magnetometer,smartphone,248315274500.0,-7.8125,-34.0625,-33.9375
magnetometer,smartphone,249315274500.0,-12.125,-29.625,-36.3125
magnetometer,smartphone,250315274500.0,-12.3125,-30.6875,-36.125
magnetometer,smartphone,251315274500.0,-16.375,-29.0625,-34.5
magnetometer,smartphone,252315274500.0,-7.4375,-29.5,-36.75
magnetometer,smartphone,253315274500.0,-6.1875,-29.125,-43.625
magnetometer,smartphone,254315274500.0,-7.0625,-28.875,-37.5
magnetometer,smartphone,255315274500.0,-7.1875,-31.625,-34.875
magnetometer,smartphone,256315274500.0,-5.75,-32.4375,-33.125
magnetometer,smartphone,257315274500.0,-10.25,-37.5625,-33.625
magnetometer,smartphone,258315274500.0,-10.625,-30.5625,-34.75
magnetometer,smartphone,259315274500.0,-9.0,-30.75,-36.75
magnetometer,smartphone,260315274500.0,-8.0,-37.4375,-39.8125
magnetometer,smartphone,261315274500.0,15.0,-36.9375,-20.6875
magnetometer,smartphone,262315274500.0,-3.875,-25.4375,-36.75
magnetometer,smartphone,263315274500.0,-6.75,-29.625,-41.25
magnetometer,smartphone,264315274500.0,-5.25,-28.875,-40.0
magnetometer,smartphone,265315274500.0,-9.6875,-31.875,-45.0
magnetometer,smartphone,266315274500.0,-17.625,-34.4375,-48.625
magnetometer,smartphone,267315274500.0,-21.6875,-37.125,-47.8125
magnetometer,smartphone,268315274500.0,-25.125,-33.5,-48.1875
