"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.253593430E0;-1.842428923E0;-1.332998276E-1;-3.071823120E-1
1.263593930E0;-2.452099800E0;3.751659393E-2;-2.290372849E-1
1.273593930E0;-3.772047520E0;1.128647089E0;1.431596756E0
1.283593930E0;-3.847690105E0;1.590181589E0;7.828302383E-1
1.293591930E0;-2.894947290E0;4.182245731E-1;3.699226379E-1
1.303592096E0;-2.472664595E0;-3.200213909E-1;-3.617343903E-1
1.313592238E0;-2.624218702E0;2.431120872E-1;-6.814374924E-1
1.323592238E0;-2.524612188E0;3.873422146E-1;-2.962837219E-1
1.333592238E0;-1.816412687E0;1.680440903E-1;6.286888123E-1
1.343592238E0;-1.910367012E0;2.045695782E-1;6.519727707E-1
1.353592328E0;-1.740139246E0;2.841305733E-1;4.689006805E-1
1.363592411E0;-1.889926314E0;3.969080448E-1;-8.727645874E-2
1.373592411E0;-2.282083035E0;5.665440559E-1;-4.013757706E-1
1.383590553E0;-2.339748859E0;5.977070332E-1;-3.875389099E-1
1.393590619E0;-2.483971119E0;6.285610199E-1;-3.366432190E-1
1.403590619E0;-2.738838196E0;6.342153549E-1;-3.904514313E-1
1.413590619E0;-3.118380070E0;7.343726158E-1;-7.068228722E-1
1.423144730E0;-3.188795805E0;7.678413391E-1;-6.857724190E-1
1.432301256E0;-3.264657974E0;7.902517319E-1;-6.579613686E-1
1.448328256E0;-3.312541962E0;8.525009155E-1;-9.907555580E-1
1.458327256E0;-3.464218140E0;9.870746136E-1;-1.447528362E0
1.468307256E0;-3.585131645E0;1.152763844E0;-1.961568356E0
1.478307756E0;-3.606709003E0;1.291391134E0;-2.104515076E0
1.488307756E0;-3.595250368E0;1.449463367E0;-2.081169128E0
1.498307756E0;-3.617791891E0;1.574601173E0;-1.918558121E0
1.508307756E0;-3.690027714E0;1.696278334E0;-1.490429878E0
1.518307756E0;-3.745395660E0;1.770680189E0;-1.346067429E0
1.528307898E0;-3.795311451E0;1.877987623E0;-1.169560432E0
1.538306398E0;-3.797986984E0;1.972548962E0;-8.279914856E-1
1.548306398E0;-3.242753267E0;1.944307566E0;-1.857190132E-1
1.558306498E0;-3.378398657E0;2.011979580E0;-1.207337379E-1
1.568306498E0;-2.858174801E0;1.862032652E0;1.043319702E-3
