,acc_phone_x,acc_phone_y,acc_phone_z,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelCycling,labelStairs,labelWalking,labelSitting,labelOther
1970-01-01 00:00:28.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:29.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:29.261252605,-7.891288757000001,3.485957623,-6.042964935,-0.8789999485,0.2671000063,-0.4086000025,19.75,-29.25,44.375,0,0,0,0,0
1970-01-01 00:00:29.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:29.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:30.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:30.261252605,-9.270348549,1.034295082,-4.769249916000001,0.6200999618,0.09429999441,-0.5504999757,29.375,-19.375,37.75,0,0,0,0,0
1970-01-01 00:00:30.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:30.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:31.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:31.261252605,-9.117119789,0.2681505978,-5.564124584,-0.6531999707,-0.2201000005,-1.165899992,28.25,-17.25,40.1875,0,0,0,0,0
1970-01-01 00:00:31.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:31.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:32.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:32.261252605,-5.133168221,0.2681505978,-2.221819162,2.769699812,1.048300028,1.648499966,28.75,-14.125,38.3125,0,0,0,0,0
1970-01-01 00:00:32.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:32.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:33.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:33.261252605,-6.358999729,-1.110909581,6.358999729,2.146899939,0.3518999815,2.154799938,36.875,-25.75,18.875,0,0,0,0,0
1970-01-01 00:00:33.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:33.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:34.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:34.261252605,-0.383072257,5.477933407,7.000645638,-1.154099941,0.2342000008,-1.406599998,23.9375,-35.0,-30.625,0,0,0,0,0
1970-01-01 00:00:34.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:34.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:35.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:35.261252605,0.5363011956,1.800439715,10.49618053,0.2547999918,-1.675799966,1.599499941,19.25,-27.875,-40.75,0,0,0,0,0
1970-01-01 00:00:35.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:35.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:36.011252605,,,,,,,,,,0,0,0,0,0
