"Time (s)"	"Illuminance (lx)"
1.324205278E3	6.015000000E3
1.325205278E3	7.429000000E3
1.326205278E3	6.980000000E3
1.327205278E3	8.081000000E3
1.328205278E3	7.134000000E3
1.329205278E3	6.634000000E3
1.330205278E3	6.310000000E3
1.331205278E3	5.217000000E3
1.332205278E3	5.003000000E3
1.333205278E3	5.252000000E3
1.334205278E3	5.402000000E3
1.335205278E3	5.523000000E3
1.336205278E3	6.929000000E3
1.337205278E3	1.109900000E4
1.338205278E3	9.228000000E3
1.339205278E3	1.011500000E4
1.340205278E3	1.261400000E4
1.341205278E3	1.070300000E4
1.342205278E3	7.999000000E3
1.343205278E3	8.354000000E3
1.344205278E3	9.216000000E3
1.345205278E3	6.770000000E3
1.346205278E3	6.528000000E3
1.347205278E3	7.493000000E3
1.348205278E3	5.280000000E3
1.349205278E3	6.173000000E3
1.350205278E3	6.566000000E3
1.351205278E3	6.324000000E3
1.352205278E3	6.770000000E3
1.353205278E3	7.185000000E3
1.354205278E3	7.191000000E3
1.355205278E3	6.440000000E3
1.356205278E3	5.639000000E3
1.357205278E3	4.560000000E3
1.358205278E3	3.888000000E3
1.359205278E3	2.976000000E3
1.360205278E3	2.580000000E3
1.361205278E3	2.624000000E3
1.362205278E3	3.344000000E3
1.363205278E3	1.678000000E3
1.364205278E3	1.942000000E3
1.365205278E3	5.370000000E2
1.366205278E3	9.710000000E2
1.367205278E3	2.730000000E2
1.368205278E3	6.500000000E2
1.369205278E3	5.560000000E2
1.370205278E3	4.550000000E2
1.371205278E3	1.250000000E2
1.372205278E3	7.200000000E1
1.373205278E3	3.170000000E2
1.374205278E3	3.390000000E2
1.375205278E3	2.820000000E2
1.376205278E3	3.400000000E1
1.377205278E3	1.380000000E2
1.378205278E3	1.440000000E2
1.379205278E3	1.380000000E2
1.380205278E3	1.190000000E2
1.381205278E3	8.100000000E1
1.382205278E3	2.800000000E1
1.383205278E3	2.800000000E1
1.384205278E3	6.200000000E1
1.385205278E3	7.800000000E1
1.386205278E3	6.200000000E1
1.387205278E3	6.200000000E1
1.388205278E3	5.900000000E1
1.389205278E3	5.300000000E1
1.390205278E3	5.000000000E1
1.391205278E3	2.500000000E1
1.392205278E3	5.600000000E1
1.393205278E3	1.200000000E1
1.394205278E3	1.200000000E1
1.395205278E3	1.800000000E1
1.396205278E3	6.600000000E1
1.397205278E3	3.080000000E2
1.398205278E3	3.170000000E2
1.399205278E3	3.550000000E2
1.400205278E3	3.040000000E2
1.401205278E3	1.820000000E2
1.402205278E3	1.130000000E2
1.403205278E3	7.200000000E1
1.404205278E3	5.300000000E1
1.405205278E3	5.300000000E1
1.406205278E3	5.900000000E1
1.407205278E3	6.600000000E1
1.408205278E3	2.010000000E2
1.409205278E3	2.800000000E1
1.410205278E3	2.800000000E1
1.411205278E3	3.100000000E1
1.412205278E3	2.200000000E1
1.413205278E3	1.800000000E1
1.414205278E3	2.200000000E1
1.415205278E3	7.200000000E1
1.416205278E3	1.980000000E2
1.417205278E3	9.100000000E1
1.418205278E3	9.000000000E0
1.419205278E3	4.000000000E1
1.420205278E3	3.400000000E1
1.421205278E3	6.600000000E1
1.422205278E3	1.660000000E2
1.423205278E3	9.400000000E1
1.424205278E3	9.700000000E1
1.425205278E3	1.000000000E2
1.426205278E3	1.500000000E2
1.427205278E3	1.540000000E2
1.428205278E3	1.160000000E2
1.429205278E3	1.190000000E2
1.430205278E3	1.280000000E2
1.431205278E3	1.100000000E2
1.432205278E3	9.400000000E1
1.433205278E3	1.220000000E2
1.434205278E3	1.570000000E2
1.435205278E3	1.440000000E2
1.436205278E3	9.700000000E1
1.437205278E3	1.220000000E2
1.438205278E3	1.660000000E2
1.439205278E3	1.470000000E2
1.440205278E3	1.440000000E2
1.441205278E3	1.440000000E2
1.442205278E3	1.690000000E2
1.443205278E3	1.720000000E2
1.444205278E3	2.510000000E2
1.445205278E3	2.730000000E2
1.446205278E3	2.320000000E2
1.447205278E3	2.290000000E2
1.448205278E3	2.070000000E2
1.449205278E3	2.130000000E2
1.450205278E3	2.890000000E2
1.451205278E3	2.600000000E2
1.452205278E3	2.890000000E2
1.453205278E3	2.890000000E2
1.454205278E3	2.920000000E2
1.455205278E3	2.790000000E2
1.456205278E3	2.920000000E2
1.457205278E3	2.950000000E2
1.458205278E3	2.890000000E2
1.459205278E3	2.790000000E2
1.460205278E3	2.790000000E2
1.461205278E3	1.910000000E2
1.462205278E3	2.100000000E2
1.463205278E3	2.380000000E2
1.464205278E3	1.980000000E2
1.465205278E3	1.440000000E2
1.466205278E3	1.690000000E2
1.467205278E3	1.540000000E2
1.468205278E3	1.600000000E2
1.469205278E3	1.720000000E2
1.470205278E3	1.660000000E2
1.471205278E3	1.600000000E2
1.472205278E3	1.470000000E2
1.473205278E3	1.720000000E2
1.474205278E3	1.790000000E2
1.475205278E3	2.130000000E2
1.476205278E3	2.010000000E2
1.477205278E3	2.070000000E2
1.478205278E3	2.350000000E2
1.479205278E3	1.880000000E2
1.480205278E3	7.800000000E1
1.481205278E3	1.130000000E2
1.482205278E3	9.100000000E1
1.483205278E3	8.100000000E1
1.484205278E3	8.100000000E1
1.485205278E3	5.900000000E1
1.486205278E3	5.600000000E1
1.487205278E3	5.900000000E1
1.488205278E3	6.900000000E1
1.489205278E3	7.200000000E1
1.490205278E3	7.200000000E1
1.491205278E3	7.200000000E1
1.492205278E3	8.400000000E1
1.493205278E3	6.900000000E1
1.494205278E3	6.600000000E1
1.495205278E3	8.100000000E1
1.496205278E3	5.000000000E1
1.497205278E3	8.800000000E1
1.498205278E3	8.800000000E1
1.499205278E3	8.800000000E1
1.500205278E3	9.400000000E1
1.501205278E3	8.800000000E1
1.502205278E3	8.400000000E1
1.503205278E3	8.100000000E1
1.504205278E3	7.200000000E1
1.505205278E3	9.700000000E1
1.506205278E3	9.700000000E1
1.507205278E3	9.700000000E1
1.508205278E3	9.700000000E1
1.509205278E3	9.700000000E1
1.510205278E3	9.700000000E1
1.511205278E3	9.700000000E1
1.512205278E3	9.700000000E1
1.513205278E3	9.700000000E1
1.514205278E3	9.400000000E1
1.515205278E3	9.400000000E1
1.516205278E3	9.400000000E1
1.517205278E3	9.400000000E1
1.518205278E3	9.400000000E1
1.519205278E3	9.400000000E1
1.520205278E3	8.800000000E1
1.521205278E3	3.400000000E1
1.522205278E3	6.600000000E1
1.523205278E3	5.300000000E1
1.524205278E3	6.600000000E1
1.525205278E3	6.600000000E1
1.526205278E3	6.600000000E1
1.527205278E3	6.200000000E1
1.528205278E3	6.200000000E1
1.529205278E3	9.100000000E1
1.530205278E3	9.400000000E1
1.531205278E3	9.700000000E1
1.532205278E3	9.700000000E1
1.533205278E3	9.700000000E1
1.534205278E3	9.700000000E1
1.535205278E3	9.700000000E1
1.536205278E3	9.700000000E1
1.537205278E3	9.700000000E1
1.538205278E3	9.700000000E1
1.539205278E3	9.700000000E1
1.540205278E3	9.700000000E1
1.541205278E3	9.700000000E1
1.542205278E3	9.700000000E1
1.543205278E3	9.700000000E1
1.544205278E3	9.700000000E1
1.545205278E3	9.700000000E1
