"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.245159156E2	5.235326345E1	4.902541848E0	1.821169993E1	4.940314293E0	1.611277771E2	1.618852806E1	0.000000000E0
1.255119552E2	5.235322651E1	4.902578259E0	1.783841113E1	4.491595268E0	1.503722687E2	1.548391914E1	0.000000000E0
1.265449198E2	5.235318189E1	4.902605191E0	1.756389960E1	4.557476997E0	1.662936096E2	1.536897945E1	0.000000000E0
1.275106140E2	5.235313686E1	4.902622504E0	1.750304095E1	4.387906551E0	1.630433350E2	1.649743652E1	0.000000000E0
1.285190640E2	5.235310160E1	4.902649971E0	1.765329615E1	3.931992054E0	1.527901917E2	1.647414207E1	0.000000000E0
1.295133729E2	5.235306574E1	4.902676447E0	1.766749768E1	3.840637445E0	1.528418274E2	1.576977158E1	0.000000000E0
1.305142422E2	5.235302113E1	4.902696716E0	1.743980665E1	4.528481007E0	1.633246613E2	1.702763748E1	0.000000000E0
1.315115208E2	5.235297358E1	4.902721115E0	1.731414362E1	4.954301357E0	1.639807434E2	1.753693771E1	0.000000000E0
1.325547594E2	5.235291452E1	4.902736411E0	1.709760993E1	5.814980507E0	1.707457123E2	1.749832344E1	0.000000000E0
1.335116526E2	5.235285700E1	4.902744353E0	1.692436649E1	5.040088177E0	1.787573547E2	1.603545380E1	0.000000000E0
1.345166896E2	5.235280601E1	4.902757634E0	1.696550440E1	4.987083912E0	1.696579132E2	1.582703876E1	0.000000000E0
1.355195937E2	5.235275738E1	4.902785168E0	1.696367611E1	5.005901814E0	1.618418579E2	1.528066826E1	0.000000000E0
1.365416177E2	5.235270742E1	4.902805152E0	1.752952523E1	4.994533062E0	1.618072815E2	1.504450226E1	0.000000000E0
1.375121442E2	5.235265841E1	4.902824613E0	1.753179928E1	4.966380119E0	1.646088409E2	1.440609550E1	0.000000000E0
1.385217625E2	5.235261272E1	4.902843858E0	1.711122845E1	4.902987480E0	1.569958649E2	1.375114059E1	0.000000000E0
1.395143677E2	5.235256282E1	4.902860606E0	1.660449991E1	4.987462997E0	1.689055176E2	1.250091839E1	0.000000000E0
1.405494005E2	5.235250920E1	4.902871258E0	1.615650393E1	5.349561214E0	1.725217896E2	1.352618217E1	0.000000000E0
1.415538333E2	5.235245661E1	4.902890977E0	1.577150865E1	5.194771767E0	1.666506500E2	1.334096146E1	0.000000000E0
1.425138833E2	5.235240453E1	4.902910100E0	1.548250901E1	5.369764328E0	1.682424011E2	1.368103695E1	0.000000000E0
1.435249583E2	5.235235178E1	4.902928109E0	1.486117969E1	4.896110058E0	1.669446869E2	1.529907799E1	0.000000000E0
1.445263073E2	5.235230087E1	4.902937648E0	1.394982973E1	4.306138039E0	1.735199432E2	1.394502544E1	0.000000000E0
1.455169479E2	5.235224952E1	4.902944347E0	1.357018240E1	5.242206097E0	1.742435150E2	1.513644218E1	0.000000000E0
1.465196708E2	5.235218642E1	4.902957854E0	1.297702930E1	5.490706444E0	1.755633698E2	1.387972069E1	0.000000000E0
1.475157265E2	5.235212376E1	4.902967714E0	1.231378232E1	5.417173862E0	1.777779541E2	1.498413467E1	0.000000000E0
1.485152609E2	5.235206601E1	4.902972073E0	1.243215785E1	5.198369503E0	1.807740479E2	1.315253067E1	0.000000000E0
1.495159083E2	5.235200878E1	4.902983315E0	1.243669911E1	4.877008438E0	1.721665344E2	1.284989548E1	0.000000000E0
1.505133099E2	5.235195218E1	4.902986153E0	1.257658122E1	5.480653286E0	1.751100006E2	1.080230618E1	0.000000000E0
