"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.133300290E3	-1.302445769E0	4.558559895E0	9.864110947E0
1.134300290E3	-2.298433632E-1	3.179499865E0	8.906430244E0
1.135300290E3	-8.427590132E-1	3.792415380E0	9.222464561E0
1.136300290E3	-6.895300746E-1	3.332728863E0	1.145386124E1
1.137300290E3	-2.375048161E0	2.566584110E0	8.906430244E0
1.138300290E3	-2.221819162E0	1.953668594E0	8.906430244E0
1.139300290E3	-1.915361404E0	3.179499865E0	8.906430244E0
1.140300290E3	-2.068590164E0	3.639186621E0	8.111555099E0
1.141300290E3	-2.068590164E0	2.260126352E0	9.222464561E0
1.142300290E3	1.302445769E0	2.260126352E0	1.001733971E1
1.143300290E3	3.830722570E-1	2.413355350E0	7.153874874E0
1.144300290E3	1.455674648E0	1.800439715E0	1.034295177E1
1.145300290E3	7.661445439E-2	1.647210717E0	1.001733971E1
1.146300290E3	1.149216771E0	2.106897593E0	9.701305389E0
1.147300290E3	1.608903527E0	1.493981838E0	9.701305389E0
1.148300290E3	-7.661445439E-2	2.566584110E0	9.538499832E0
1.149300290E3	9.959878922E-1	1.800439715E0	1.065898609E1
1.150300290E3	9.959878922E-1	3.179499865E0	7.153874874E0
1.151300290E3	-8.427590132E-1	2.566584110E0	9.385271072E0
1.152300290E3	-1.302445769E0	3.026270866E0	7.948749542E0
1.153300290E3	5.363011956E-1	4.558559895E0	9.069235802E0
1.154300290E3	2.298433632E-1	3.945644379E0	9.538499832E0
1.155300290E3	-3.830722570E-1	1.340752959E0	8.111555099E0
1.156300290E3	8.427590132E-1	-1.264138460E0	1.049618053E1
1.157300290E3	5.363011956E-1	-6.512228847E-1	8.906430244E0
1.158300290E3	9.959878922E-1	-6.512228847E-1	8.743624687E0
1.159300290E3	-5.363011956E-1	-6.512228847E-1	1.081221485E1
1.160300290E3	-2.221819162E0	-1.417367458E0	1.049618053E1
1.161300290E3	-4.826710701E0	-1.264138460E0	8.111555099E0
