"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
3.243152745E2	1.331250000E1	-3.725000000E1	-3.475000000E1
3.253152745E2	2.075000000E1	-2.662500000E1	-4.093750000E1
3.263152745E2	2.512500000E1	-2.306250000E1	-4.112500000E1
3.273152745E2	2.550000000E1	-1.743750000E1	-4.318750000E1
3.283152745E2	2.425000000E1	-1.787500000E1	-4.418750000E1
3.293152745E2	2.293750000E1	-1.431250000E1	-4.562500000E1
3.303152745E2	2.156250000E1	-1.600000000E1	-4.350000000E1
3.313152745E2	1.925000000E1	-1.731250000E1	-4.625000000E1
3.323152745E2	1.200000000E1	-3.375000000E1	-3.906250000E1
3.333152745E2	1.925000000E1	-2.512500000E1	-4.293750000E1
3.343152745E2	2.512500000E1	-1.262500000E1	-4.506250000E1
3.353152745E2	2.162500000E1	-1.531250000E1	-4.600000000E1
3.363152745E2	1.925000000E1	-1.600000000E1	-4.687500000E1
3.373152745E2	1.700000000E1	-1.787500000E1	-4.787500000E1
3.383152745E2	1.643750000E1	-1.850000000E1	-4.675000000E1
3.393152745E2	1.906250000E1	-1.756250000E1	-4.643750000E1
3.403152745E2	1.843750000E1	-1.975000000E1	-4.537500000E1
3.413152745E2	1.850000000E1	-2.043750000E1	-4.531250000E1
3.423152745E2	1.750000000E1	-2.125000000E1	-4.531250000E1
3.433152745E2	1.881250000E1	-2.212500000E1	-4.443750000E1
3.443152745E2	2.050000000E1	-2.068750000E1	-4.406250000E1
3.453152745E2	1.912500000E1	-2.693750000E1	-4.043750000E1
3.463152745E2	1.231250000E1	-4.131250000E1	-2.925000000E1
3.473152745E2	1.793750000E1	-2.787500000E1	-4.125000000E1
3.483152745E2	1.818750000E1	-2.375000000E1	-4.362500000E1
3.493152745E2	1.725000000E1	-2.325000000E1	-4.481250000E1
3.503152745E2	1.137500000E1	-2.818750000E1	-4.256250000E1
3.513152745E2	1.325000000E1	-3.668750000E1	-2.825000000E1
3.523152745E2	1.668750000E1	-3.043750000E1	-3.893750000E1
3.533152745E2	1.725000000E1	-2.743750000E1	-4.193750000E1
3.543152745E2	1.987500000E1	-2.756250000E1	-4.106250000E1
3.553152745E2	1.737500000E1	-2.868750000E1	-4.168750000E1
3.563152745E2	1.550000000E1	-2.793750000E1	-4.218750000E1
3.573152745E2	1.531250000E1	-2.787500000E1	-4.293750000E1
3.583152745E2	1.387500000E1	-2.868750000E1	-4.312500000E1
3.593152745E2	9.500000000E0	-3.531250000E1	-3.793750000E1
3.603152745E2	1.387500000E1	-2.887500000E1	-4.206250000E1
3.613152745E2	1.700000000E1	-2.856250000E1	-4.131250000E1
3.623152745E2	1.787500000E1	-2.606250000E1	-4.268750000E1
3.633152745E2	1.706250000E1	-2.637500000E1	-4.200000000E1
3.643152745E2	1.550000000E1	-2.656250000E1	-4.193750000E1
3.653152745E2	1.381250000E1	-2.825000000E1	-3.956250000E1
3.663152745E2	1.187500000E1	-4.087500000E1	-2.781250000E1
3.673152745E2	1.512500000E1	-3.837500000E1	-2.975000000E1
3.683152745E2	1.637500000E1	-3.087500000E1	-3.756250000E1
3.693152745E2	1.043750000E1	-3.943750000E1	-3.081250000E1
3.703152745E2	1.487500000E1	-3.787500000E1	-3.100000000E1
3.713152745E2	1.825000000E1	-3.250000000E1	-3.531250000E1
3.723152745E2	1.706250000E1	-2.968750000E1	-3.568750000E1
3.733152745E2	1.393750000E1	-3.131250000E1	-3.593750000E1
3.743152745E2	9.250000000E0	-3.481250000E1	-3.531250000E1
3.753152745E2	1.381250000E1	-3.418750000E1	-3.550000000E1
3.763152745E2	1.581250000E1	-3.525000000E1	-3.362500000E1
3.773152745E2	1.225000000E1	-3.868750000E1	-3.050000000E1
3.783152745E2	9.062500000E0	-4.306250000E1	-2.456250000E1
3.793152745E2	1.468750000E1	-4.025000000E1	-3.081250000E1
3.803152745E2	1.487500000E1	-3.537500000E1	-3.500000000E1
3.813152745E2	1.487500000E1	-3.606250000E1	-3.256250000E1
3.823152745E2	1.543750000E1	-3.337500000E1	-3.518750000E1
3.833152745E2	1.406250000E1	-3.468750000E1	-3.606250000E1
3.843152745E2	1.050000000E1	-4.006250000E1	-3.043750000E1
3.853152745E2	1.643750000E1	-3.681250000E1	-3.225000000E1
3.863152745E2	1.575000000E1	-3.500000000E1	-3.537500000E1
3.873152745E2	1.125000000E1	-3.525000000E1	-3.593750000E1
3.883152745E2	1.300000000E1	-3.500000000E1	-3.250000000E1
3.893152745E2	1.225000000E1	-4.000000000E1	-3.006250000E1
3.903152745E2	1.343750000E1	-3.856250000E1	-3.031250000E1
3.913152745E2	1.606250000E1	-3.531250000E1	-3.381250000E1
3.923152745E2	1.362500000E1	-3.318750000E1	-3.625000000E1
3.933152745E2	1.475000000E1	-3.325000000E1	-3.425000000E1
3.943152745E2	1.537500000E1	-3.375000000E1	-3.550000000E1
3.953152745E2	1.781250000E1	-3.543750000E1	-3.443750000E1
3.963152745E2	1.106250000E1	-4.281250000E1	-2.731250000E1
