"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.483102682E2	-5.364999771E-1	1.278999895E-1	1.654999971E0
1.493102682E2	-2.274999917E-1	-2.965999842E-1	-3.979999945E-2
1.503102682E2	6.574000120E-1	6.567999721E-1	-1.095399976E0
1.513102682E2	6.426999569E-1	-7.229999900E-1	-3.093000054E-1
1.523102682E2	1.999999862E-3	2.759999931E-1	5.126000047E-1
1.533102682E2	-6.268000007E-1	4.699999839E-2	1.706699967E0
1.543102682E2	-1.613999963E0	3.429999948E-1	8.955000043E-1
1.553102682E2	9.047999978E-1	4.774999917E-1	-6.883999705E-1
1.563102682E2	7.364000082E-1	1.955999881E-1	3.039000034E-1
1.573102682E2	-9.876999855E-1	6.791999936E-1	-9.679999948E-1
1.583102682E2	5.245999694E-1	8.545999527E-1	-9.547999501E-1
1.593102682E2	5.511999726E-1	-3.109999932E-2	-8.278999925E-1
1.603102682E2	-1.346300006E0	3.725000024E-1	8.862999678E-1
1.613102682E2	8.459999561E-1	-2.734999955E-1	1.559199929E0
1.623102682E2	3.222000003E-1	-2.575999796E-1	-2.557999790E-1
1.633102682E2	-7.074999809E-1	1.867000014E-1	2.317999899E-1
1.643102682E2	-1.006399989E0	-2.901999950E-1	-5.533999801E-1
1.653102682E2	9.355999827E-1	-4.953999817E-1	9.020999670E-1
1.663102682E2	6.151999831E-1	6.229999661E-2	8.197000027E-1
1.673102682E2	-1.694700003E0	3.064000010E-1	1.219999976E-2
1.683102682E2	9.719999880E-2	5.178999901E-1	-8.032000065E-1
1.693102682E2	2.111999989E-1	-8.693999648E-1	2.438099861E0
1.703102682E2	-3.506999910E-1	6.628999710E-1	1.045999974E-1
1.713102682E2	-1.092000008E0	5.689999834E-2	5.737000108E-1
1.723102682E2	9.301999807E-1	-5.906000137E-1	2.785199881E0
1.733102682E2	9.338999987E-1	5.615000129E-1	1.485499978E0
1.743102682E2	-4.087999761E-1	-7.154999971E-1	1.177999973E-1
1.753102682E2	-1.063099980E0	-4.794999957E-1	7.999999449E-3
1.763102682E2	4.018999934E-1	3.867000043E-1	7.688999772E-1
1.773102682E2	2.284999937E-1	-3.700000048E-1	2.529999912E-1
1.783102682E2	-1.460999995E-1	-2.403999865E-1	1.115499973E0
1.793102682E2	-4.020999968E-1	-3.975999951E-1	-8.501999974E-1
1.803102682E2	5.263999701E-1	6.671000123E-1	-2.523200035E0
