Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2023-04-29 01:52:52 - 2023-04-29 02:08:52,,,,,0.267,,
2023-04-29 01:52:52 - 2023-04-29 09:03:52,,,,,,,7.183
2023-04-29 02:08:52 - 2023-04-29 02:25:22,,,,,,0.275,
2023-04-29 02:25:22 - 2023-04-29 02:36:22,,,,,0.183,,
2023-04-29 02:26:22,0.950,,,,,,
2023-04-29 02:36:22 - 2023-04-29 02:52:52,,,,,,0.275,
2023-04-29 02:52:52 - 2023-04-29 03:05:52,,,,,0.217,,
2023-04-29 03:05:52 - 2023-04-29 03:12:22,,0.108,,,,,
2023-04-29 03:12:22 - 2023-04-29 03:29:52,,,,,0.292,,
2023-04-29 03:26:22,0.950,,,,,,
2023-04-29 03:29:52 - 2023-04-29 03:31:22,,,,,,0.025,
2023-04-29 03:31:22 - 2023-04-29 04:02:52,,,,,0.525,,
2023-04-29 04:02:52 - 2023-04-29 04:35:22,,,,,,0.542,
2023-04-29 04:26:23,0.860,,,,,,
2023-04-29 04:35:22 - 2023-04-29 04:44:22,,,,,0.150,,
2023-04-29 04:44:22 - 2023-04-29 05:11:52,,0.458,,,,,
2023-04-29 04:57:07,0.970,,,,,,
2023-04-29 05:11:52 - 2023-04-29 06:35:22,,,,,1.392,,
2023-04-29 05:27:08,0.950,,,,,,
2023-04-29 06:32:21,0.900,,,,,,
2023-04-29 06:35:22 - 2023-04-29 06:56:52,,0.358,,,,,
2023-04-29 06:56:52 - 2023-04-29 07:51:22,,,,,0.908,,
2023-04-29 07:02:22,0.940,,,,,,
2023-04-29 07:32:20,0.950,,,,,,
2023-04-29 07:51:22 - 2023-04-29 08:25:22,,0.567,,,,,
2023-04-29 08:02:54,0.920,,,,,,
2023-04-29 08:25:22 - 2023-04-29 08:57:52,,,,,0.542,,
2023-04-29 08:35:00,0.970,,,,,,
2023-04-29 08:57:52 - 2023-04-29 09:03:52,,0.100,,,,,
2023-04-29 22:39:32,1.000,,,,,,
2023-04-29 23:42:34 - 2023-04-29 23:43:47,,,,,,,0.020
2023-04-30 01:48:42 - 2023-04-30 06:50:00,,,,,,,5.022
2023-05-01 00:59:36 - 2023-05-01 01:02:06,,,,,0.042,,0.042
2023-05-01 01:02:06 - 2023-05-01 01:06:36,,,,0.075,,,
2023-05-01 01:03:18 - 2023-05-01 06:50:00,,,,,,,5.778
2023-05-01 01:06:36 - 2023-05-01 01:20:36,,,,,0.233,,
2023-05-01 01:06:36 - 2023-05-01 03:29:36,,,,,,,2.383
2023-05-01 01:20:36 - 2023-05-01 01:51:36,,,,,,0.517,
2023-05-01 01:48:51,0.970,,,,,,
2023-05-01 01:51:36 - 2023-05-01 01:54:36,,,,,0.050,,
2023-05-01 01:54:36 - 2023-05-01 02:07:06,,,,,,0.208,
2023-05-01 02:07:06 - 2023-05-01 02:12:36,,,,,0.092,,
2023-05-01 02:12:36 - 2023-05-01 02:28:06,,0.258,,,,,
2023-05-01 02:28:06 - 2023-05-01 02:56:36,,,,,0.475,,
2023-05-01 02:56:36 - 2023-05-01 03:14:06,,,,,,0.292,
2023-05-01 03:14:06 - 2023-05-01 03:29:36,,,,,0.258,,
2023-05-01 03:19:19,0.890,,,,,,
2023-05-01 03:29:36 - 2023-05-01 03:30:06,,,,0.008,,,
2023-05-01 03:30:06 - 2023-05-01 03:59:06,,,,,0.483,,0.483
2023-05-01 03:49:20,0.930,,,,,,
2023-05-01 03:59:06 - 2023-05-01 03:59:36,,,,0.008,,,
2023-05-01 03:59:36 - 2023-05-01 04:30:06,,,,,0.508,,
2023-05-01 03:59:36 - 2023-05-01 04:36:06,,,,,,,0.608
2023-05-01 04:30:06 - 2023-05-01 04:35:06,,,,,,0.083,
2023-05-01 04:35:06 - 2023-05-01 04:36:06,,,,,0.017,,
2023-05-01 04:36:06 - 2023-05-01 04:38:06,,,,0.033,,,
2023-05-01 04:38:06 - 2023-05-01 04:42:36,,,,,0.075,,
2023-05-01 04:38:06 - 2023-05-01 06:04:06,,,,,,,1.433
2023-05-01 04:39:06,0.950,,,,,,
2023-05-01 04:42:36 - 2023-05-01 04:57:36,,0.250,,,,,
2023-05-01 04:57:36 - 2023-05-01 06:04:06,,,,,1.108,,
2023-05-01 05:53:12,0.910,,,,,,
2023-05-01 06:04:06 - 2023-05-01 06:04:36,,,,0.008,,,
2023-05-01 06:04:36 - 2023-05-01 06:14:36,,,,,0.167,,
2023-05-01 06:04:36 - 2023-05-01 09:30:06,,,,,,,3.425
2023-05-01 06:14:36 - 2023-05-01 06:48:06,,0.558,,,,,
2023-05-01 06:26:28,0.940,,,,,,
2023-05-01 06:48:06 - 2023-05-01 07:49:36,,,,,1.025,,
2023-05-01 07:01:33,0.940,,,,,,
2023-05-01 07:49:36 - 2023-05-01 08:10:06,,0.342,,,,,
2023-05-01 08:01:34,0.920,,,,,,
2023-05-01 08:10:06 - 2023-05-01 09:05:36,,,,,0.925,,
2023-05-01 09:05:36 - 2023-05-01 09:24:06,,0.308,,,,,
2023-05-01 09:11:06,0.910,,,,,,
2023-05-01 09:24:06 - 2023-05-01 09:30:06,,,,,0.100,,
2023-05-01 09:30:06 - 2023-05-01 09:30:36,,,,0.008,,,
2023-05-01 09:30:36 - 2023-05-01 10:27:36,,,,,0.950,,
2023-05-01 09:30:36 - 2023-05-01 10:41:06,,,,,,,1.175
2023-05-01 10:21:26,0.970,,,,,,
2023-05-01 10:27:36 - 2023-05-01 10:41:06,,0.225,,,,,
2023-05-01 23:38:13 - 2023-05-01 23:38:24,,,,,,,0.003
2023-05-01 23:46:39,0.950,,,,,,
2023-05-02 01:29:36 - 2023-05-02 01:41:06,,,,,0.192,,0.192
2023-05-02 01:37:05 - 2023-05-02 06:50:00,,,,,,,5.215
2023-05-02 01:41:06 - 2023-05-02 01:42:36,,,,0.025,,,
2023-05-02 01:42:36 - 2023-05-02 01:44:06,,,,,0.025,,0.025
2023-05-02 01:44:06 - 2023-05-02 01:45:06,,,,0.017,,,
2023-05-02 01:45:06 - 2023-05-02 02:08:06,,,,,0.383,,
2023-05-02 01:45:06 - 2023-05-02 02:41:36,,,,,,,0.942
2023-05-02 02:08:06 - 2023-05-02 02:38:36,,,,,,0.508,
2023-05-02 02:17:40,0.920,,,,,,
2023-05-02 02:38:36 - 2023-05-02 02:40:36,,,,,0.033,,
2023-05-02 02:40:36 - 2023-05-02 02:41:36,,0.017,,,,,
2023-05-02 02:41:36 - 2023-05-02 02:43:06,,,,0.025,,,
2023-05-02 02:43:06 - 2023-05-02 02:46:06,,,,,0.050,,
2023-05-02 02:43:06 - 2023-05-02 05:22:06,,,,,,,2.650
2023-05-02 02:46:06 - 2023-05-02 03:01:06,,0.250,,,,,
2023-05-02 02:53:43,0.960,,,,,,
2023-05-02 03:01:06 - 2023-05-02 03:18:36,,,,,0.292,,
2023-05-02 03:18:36 - 2023-05-02 03:51:06,,,,,,0.542,
2023-05-02 03:23:44,0.830,,,,,,
2023-05-02 03:51:06 - 2023-05-02 04:26:06,,,,,0.583,,
2023-05-02 03:54:25,0.920,,,,,,
2023-05-02 04:24:26,0.890,,,,,,
2023-05-02 04:26:06 - 2023-05-02 04:44:36,,0.308,,,,,
2023-05-02 04:44:36 - 2023-05-02 05:22:06,,,,,0.625,,
2023-05-02 04:54:26,0.970,,,,,,
2023-05-02 05:22:06 - 2023-05-02 05:22:36,,,,0.008,,,
2023-05-02 05:22:36 - 2023-05-02 06:06:06,,,,,0.725,,
2023-05-02 05:22:36 - 2023-05-02 09:29:36,,,,,,,4.117
2023-05-02 05:27:35,0.930,,,,,,
2023-05-02 05:57:36,0.870,,,,,,
2023-05-02 06:06:06 - 2023-05-02 06:32:06,,0.433,,,,,
2023-05-02 06:27:36,0.940,,,,,,
2023-05-02 06:32:06 - 2023-05-02 07:50:06,,,,,1.300,,
2023-05-02 07:27:37,0.900,,,,,,
2023-05-02 07:50:06 - 2023-05-02 08:25:06,,0.583,,,,,
2023-05-02 08:25:06 - 2023-05-02 09:11:06,,,,,0.767,,
2023-05-02 09:11:06 - 2023-05-02 09:29:36,,0.308,,,,,
2023-05-02 09:29:36 - 2023-05-02 09:31:36,,,,0.033,,,
2023-05-02 09:31:36 - 2023-05-02 09:33:36,,,,,0.033,,0.033
2023-05-02 09:33:36 - 2023-05-02 09:37:36,,,,0.067,,,
2023-05-02 09:34:23,0.950,,,,,,
2023-05-02 09:37:36 - 2023-05-02 09:41:36,,,,,0.067,,0.067
2023-05-03 00:02:26 - 2023-05-03 00:55:08,,,,,,,0.878
2023-05-03 00:55:41 - 2023-05-03 01:03:59,,,,,,,0.138
2023-05-03 02:23:06 - 2023-05-03 06:50:00,,,,,,,4.449
2023-05-03 02:36:06 - 2023-05-03 02:48:36,,,,,0.208,,
2023-05-03 02:36:06 - 2023-05-03 05:04:36,,,,,,,2.475
2023-05-03 02:48:36 - 2023-05-03 02:58:06,,,,,,0.158,
2023-05-03 02:58:06 - 2023-05-03 03:04:36,,,,,0.108,,
2023-05-03 03:04:36 - 2023-05-03 03:32:36,,,,,,0.467,
2023-05-03 03:12:52,0.960,,,,,,
2023-05-03 03:32:36 - 2023-05-03 03:38:06,,,,,0.092,,
2023-05-03 03:38:06 - 2023-05-03 03:54:36,,0.275,,,,,
2023-05-03 03:42:53,0.960,,,,,,
2023-05-03 03:54:36 - 2023-05-03 04:25:36,,,,,0.517,,
2023-05-03 04:25:36 - 2023-05-03 05:04:06,,,,,,0.642,
2023-05-03 05:04:06 - 2023-05-03 05:04:36,,,,,0.008,,
2023-05-03 05:04:36 - 2023-05-03 05:05:06,,,,0.008,,,
2023-05-03 05:05:06 - 2023-05-03 05:15:36,,,,,0.175,,
2023-05-03 05:05:06 - 2023-05-03 09:16:36,,,,,,,4.192
2023-05-03 05:07:42,0.890,,,,,,
2023-05-03 05:15:36 - 2023-05-03 05:32:36,,0.283,,,,,
2023-05-03 05:32:36 - 2023-05-03 06:51:06,,,,,1.308,,
2023-05-03 05:50:20,0.980,,,,,,
2023-05-03 06:20:21,0.950,,,,,,
2023-05-03 06:51:06 - 2023-05-03 07:15:36,,0.408,,,,,
2023-05-03 06:55:39,0.940,,,,,,
2023-05-03 07:15:36 - 2023-05-03 08:08:36,,,,,0.883,,
2023-05-03 07:25:40,0.890,,,,,,
2023-05-03 08:00:45,0.960,,,,,,
2023-05-03 08:08:36 - 2023-05-03 08:26:36,,0.300,,,,,
2023-05-03 08:26:36 - 2023-05-03 09:16:36,,,,,0.833,,
2023-05-03 08:37:36,0.940,,,,,,
2023-05-03 09:07:37,0.970,,,,,,
2023-05-03 09:16:36 - 2023-05-03 09:17:06,,,,0.008,,,
2023-05-03 09:17:06 - 2023-05-03 09:22:06,,,,,0.083,,
2023-05-03 09:17:06 - 2023-05-03 09:50:06,,,,,,,0.550
2023-05-03 09:22:06 - 2023-05-03 09:49:06,,0.450,,,,,
2023-05-03 09:39:23,0.970,,,,,,
2023-05-03 09:49:06 - 2023-05-03 09:50:06,,,,,0.017,,
2023-05-03 09:50:06 - 2023-05-03 09:51:06,,,,0.017,,,
2023-05-03 09:51:06 - 2023-05-03 09:53:06,,,,,0.033,,0.033
2023-05-03 09:53:06 - 2023-05-03 09:54:06,,,,0.017,,,
2023-05-03 09:54:06 - 2023-05-03 09:57:36,,,,,0.058,,0.058
2023-05-03 09:57:36 - 2023-05-03 10:00:36,,,,0.050,,,
2023-05-03 10:00:36 - 2023-05-03 10:10:06,,,,,0.158,,0.158
2023-05-03 10:09:24,0.920,,,,,,
2023-05-03 10:10:06 - 2023-05-03 10:11:36,,,,0.025,,,
2023-05-03 10:11:36 - 2023-05-03 10:13:06,,,,,0.025,,0.025
2023-05-03 10:13:06 - 2023-05-03 10:16:06,,,,0.050,,,
2023-05-03 10:16:06 - 2023-05-03 10:27:06,,,,,0.183,,0.183
2023-05-04 00:09:09 - 2023-05-04 06:50:00,,,,,,,6.681
2023-05-04 00:46:56,1.000,,,,,,
2023-05-04 01:10:45 - 2023-05-04 01:25:45,,,,,0.250,,0.250
2023-05-04 01:25:45 - 2023-05-04 01:29:45,,,,0.067,,,
2023-05-04 01:27:22,0.920,,,,,,
2023-05-04 01:29:45 - 2023-05-04 01:48:15,,,,,0.308,,0.308
2023-05-04 01:48:15 - 2023-05-04 01:50:15,,,,0.033,,,
2023-05-04 01:50:15 - 2023-05-04 02:06:45,,,,,0.275,,
2023-05-04 01:50:15 - 2023-05-04 03:32:15,,,,,,,1.700
2023-05-04 02:06:45 - 2023-05-04 02:36:45,,,,,,0.500,
2023-05-04 02:36:45 - 2023-05-04 03:23:45,,,,,0.783,,
2023-05-04 02:38:17,0.900,,,,,,
2023-05-04 03:08:48,0.920,,,,,,
2023-05-04 03:23:45 - 2023-05-04 03:31:45,,,,,,0.133,
2023-05-04 03:31:45 - 2023-05-04 03:32:15,,,,,0.008,,
2023-05-04 03:32:15 - 2023-05-04 03:32:45,,,,0.008,,,
2023-05-04 03:32:45 - 2023-05-04 03:50:15,,,,,0.292,,
2023-05-04 03:32:45 - 2023-05-04 03:58:45,,,,,,,0.433
2023-05-04 03:38:49,0.950,,,,,,
2023-05-04 03:50:15 - 2023-05-04 03:56:45,,,,,,0.108,
2023-05-04 03:56:45 - 2023-05-04 03:58:45,,,,,0.033,,
2023-05-04 03:58:45 - 2023-05-04 04:00:15,,,,0.025,,,
2023-05-04 04:00:15 - 2023-05-04 04:02:45,,,,,0.042,,
2023-05-04 04:00:15 - 2023-05-04 04:07:45,,,,,,,0.125
2023-05-04 04:02:45 - 2023-05-04 04:07:45,,0.083,,,,,
2023-05-04 04:07:45 - 2023-05-04 04:15:45,,,,0.133,,,
2023-05-04 04:08:50,0.970,,,,,,
2023-05-04 04:15:45 - 2023-05-04 05:17:15,,,,,1.025,,1.025
2023-05-04 04:46:33,0.960,,,,,,
2023-05-04 05:16:34,0.990,,,,,,
2023-05-04 05:17:15 - 2023-05-04 05:18:15,,,,0.017,,,
2023-05-04 05:18:15 - 2023-05-04 05:19:15,,,,,0.017,,0.017
2023-05-04 05:19:15 - 2023-05-04 05:21:45,,,,0.042,,,
2023-05-04 05:21:45 - 2023-05-04 05:27:15,,,,,0.092,,0.092
2023-05-04 05:27:15 - 2023-05-04 05:29:45,,,,0.042,,,
2023-05-04 05:29:45 - 2023-05-04 05:39:45,,,,,0.167,,
2023-05-04 05:29:45 - 2023-05-04 05:45:45,,,,,,,0.267
2023-05-04 05:39:45 - 2023-05-04 05:45:45,,0.100,,,,,
2023-05-04 05:45:45 - 2023-05-04 05:46:45,,,,0.017,,,
2023-05-04 05:46:35,0.950,,,,,,
2023-05-04 05:46:45 - 2023-05-04 05:48:15,,,,,0.025,,
2023-05-04 05:46:45 - 2023-05-04 07:27:15,,,,,,,1.675
2023-05-04 05:48:15 - 2023-05-04 06:18:15,,0.500,,,,,
2023-05-04 06:18:15 - 2023-05-04 06:21:15,,,,,0.050,,
2023-05-04 06:21:15 - 2023-05-04 07:09:15,,0.800,,,,,
2023-05-04 06:46:36,0.890,,,,,,
2023-05-04 07:09:15 - 2023-05-04 07:27:15,,,,,0.300,,
2023-05-04 07:21:02,0.970,,,,,,
2023-05-04 07:27:15 - 2023-05-04 07:27:45,,,,0.008,,,
2023-05-04 07:27:45 - 2023-05-04 07:51:45,,,,,0.400,,0.400
2023-05-04 07:51:45 - 2023-05-04 07:53:15,,,,0.025,,,
2023-05-04 07:53:15 - 2023-05-04 07:54:15,,,,,0.017,,0.017
2023-05-04 07:54:15 - 2023-05-04 07:56:45,,,,0.042,,,
2023-05-04 07:56:45 - 2023-05-04 08:45:45,,,,,0.817,,
2023-05-04 07:56:45 - 2023-05-04 10:19:15,,,,,,,2.375
2023-05-04 07:59:25,0.890,,,,,,
2023-05-04 08:29:26,0.960,,,,,,
2023-05-04 08:45:45 - 2023-05-04 09:01:15,,0.258,,,,,
2023-05-04 08:59:27,0.980,,,,,,
2023-05-04 09:01:15 - 2023-05-04 10:03:45,,,,,1.042,,
2023-05-04 09:53:35,0.990,,,,,,
2023-05-04 10:03:45 - 2023-05-04 10:19:15,,0.258,,,,,
2023-05-04 10:19:15 - 2023-05-04 10:23:15,,,,0.067,,,
2023-05-04 10:23:15 - 2023-05-04 10:29:45,,,,,0.108,,0.108
2023-05-04 10:29:45 - 2023-05-04 10:31:45,,,,0.033,,,
2023-05-04 10:31:45 - 2023-05-04 10:36:45,,,,,0.083,,0.083
2023-05-04 18:24:40,0.960,,,,,,
2023-05-04 21:01:55,0.910,,,,,,
2023-05-04 23:18:33 - 2023-05-04 23:18:34,,,,,,,0.000
2023-05-05 00:51:02 - 2023-05-05 00:51:06,,,,,,,0.001
2023-05-05 01:21:49 - 2023-05-05 06:50:00,,,,,,,5.470
2023-05-05 13:53:58,0.980,,,,,,
2023-05-05 18:26:39,0.890,,,,,,
2023-05-05 23:01:23,1.000,,,,,,
2023-05-05 23:02:16 - 2023-05-05 23:02:17,,,,,,,0.000
2023-05-06 00:02:22,0.980,,,,,,
2023-05-06 00:51:04 - 2023-05-06 00:53:54,,,,,,,0.047
2023-05-06 01:01:26 - 2023-05-06 06:50:00,,,,,,,5.810
2023-05-06 01:01:57 - 2023-05-06 01:15:57,,,,,0.233,,
2023-05-06 01:01:57 - 2023-05-06 05:08:57,,,,,,,4.117
2023-05-06 01:15:57 - 2023-05-06 01:40:27,,,,,,0.408,
2023-05-06 01:40:27 - 2023-05-06 01:41:57,,,,,0.025,,
2023-05-06 01:40:46,0.900,,,,,,
2023-05-06 01:41:57 - 2023-05-06 01:47:27,,,,,,0.092,
2023-05-06 01:47:27 - 2023-05-06 01:51:57,,,,,0.075,,
2023-05-06 01:51:57 - 2023-05-06 01:59:57,,,,,,0.133,
2023-05-06 01:59:57 - 2023-05-06 02:07:27,,,,,0.125,,
2023-05-06 02:07:27 - 2023-05-06 02:20:27,,0.217,,,,,
2023-05-06 02:10:47,0.930,,,,,,
2023-05-06 02:20:27 - 2023-05-06 02:40:27,,,,,0.333,,
2023-05-06 02:40:27 - 2023-05-06 02:51:27,,,,,,0.183,
2023-05-06 02:51:27 - 2023-05-06 03:01:57,,,,,0.175,,
2023-05-06 03:01:57 - 2023-05-06 03:26:57,,,,,,0.417,
2023-05-06 03:10:48,0.940,,,,,,
2023-05-06 03:26:57 - 2023-05-06 03:41:57,,,,,0.250,,
2023-05-06 03:40:49,0.950,,,,,,
2023-05-06 03:41:57 - 2023-05-06 03:54:27,,0.208,,,,,
2023-05-06 03:54:27 - 2023-05-06 03:54:57,,,,,0.008,,
2023-05-06 03:54:57 - 2023-05-06 03:55:57,,0.017,,,,,
2023-05-06 03:55:57 - 2023-05-06 04:28:57,,,,,0.550,,
2023-05-06 04:28:57 - 2023-05-06 04:54:27,,,,,,0.425,
2023-05-06 04:54:27 - 2023-05-06 05:02:27,,,,,0.133,,
2023-05-06 05:02:27 - 2023-05-06 05:08:57,,0.108,,,,,
2023-05-06 05:08:57 - 2023-05-06 05:10:27,,,,0.025,,,
2023-05-06 05:10:27 - 2023-05-06 05:23:57,,0.225,,,,,
2023-05-06 05:10:27 - 2023-05-06 06:28:27,,,,,,,1.300
2023-05-06 05:23:57 - 2023-05-06 06:28:27,,,,,1.075,,
2023-05-06 06:28:27 - 2023-05-06 06:28:57,,,,0.008,,,
2023-05-06 06:28:57 - 2023-05-06 06:31:57,,,,,0.050,,
2023-05-06 06:28:57 - 2023-05-06 09:09:27,,,,,,,2.675
2023-05-06 06:31:57 - 2023-05-06 07:03:27,,0.525,,,,,
2023-05-06 06:58:40,0.910,,,,,,
2023-05-06 07:03:27 - 2023-05-06 07:52:27,,,,,0.817,,
2023-05-06 07:33:15,0.980,,,,,,
2023-05-06 07:52:27 - 2023-05-06 08:20:27,,0.467,,,,,
2023-05-06 08:03:16,0.970,,,,,,
2023-05-06 08:20:27 - 2023-05-06 09:09:27,,,,,0.817,,
2023-05-06 08:33:17,0.970,,,,,,
2023-05-06 09:03:18,0.960,,,,,,
2023-05-06 09:09:27 - 2023-05-06 09:10:57,,,,0.025,,,
2023-05-06 09:10:57 - 2023-05-06 09:16:57,,,,,0.100,,
2023-05-06 09:10:57 - 2023-05-06 09:28:27,,,,,,,0.292
2023-05-06 09:16:57 - 2023-05-06 09:25:57,,0.150,,,,,
2023-05-06 09:25:57 - 2023-05-06 09:28:27,,,,,0.042,,
2023-05-06 09:28:27 - 2023-05-06 09:28:57,,,,0.008,,,
2023-05-06 09:28:57 - 2023-05-06 09:55:57,,,,,0.450,,0.450
2023-05-06 09:55:57 - 2023-05-06 09:56:57,,,,0.017,,,
2023-05-06 09:56:57 - 2023-05-06 09:58:27,,,,,0.025,,0.025
2023-05-06 09:58:27 - 2023-05-06 09:59:57,,,,0.025,,,
2023-05-06 09:59:57 - 2023-05-06 10:07:57,,,,,0.133,,0.133
2023-05-06 10:07:57 - 2023-05-06 10:13:27,,,,0.092,,,
2023-05-06 10:13:27 - 2023-05-06 10:17:27,,,,,0.067,,0.067
2023-05-06 12:37:32,1.000,,,,,,
2023-05-06 21:53:51,0.970,,,,,,
2023-05-06 23:34:50 - 2023-05-06 23:36:06,,,,,,,0.021
2023-05-06 23:49:23,1.000,,,,,,
2023-05-07 01:26:31 - 2023-05-07 01:28:31,,,,,0.033,,0.033
2023-05-07 01:28:31 - 2023-05-07 01:32:31,,,,0.067,,,
2023-05-07 01:31:09 - 2023-05-07 06:50:01,,,,,,,5.314
2023-05-07 01:32:31 - 2023-05-07 01:45:01,,,,,0.208,,
2023-05-07 01:32:31 - 2023-05-07 02:33:31,,,,,,,1.017
2023-05-07 01:45:01 - 2023-05-07 02:33:31,,,,,,0.808,
2023-05-07 02:33:31 - 2023-05-07 02:34:01,,,,0.008,,,
2023-05-07 02:34:01 - 2023-05-07 02:36:01,,,,,0.033,,
2023-05-07 02:34:01 - 2023-05-07 03:49:01,,,,,,,1.250
2023-05-07 02:36:01 - 2023-05-07 02:45:01,,0.150,,,,,
2023-05-07 02:41:13,0.920,,,,,,
2023-05-07 02:45:01 - 2023-05-07 03:10:01,,,,,0.417,,
2023-05-07 03:10:01 - 2023-05-07 03:15:31,,,,,,0.092,
2023-05-07 03:11:14,0.870,,,,,,
2023-05-07 03:15:31 - 2023-05-07 03:23:01,,,,,0.125,,
2023-05-07 03:23:01 - 2023-05-07 03:49:01,,,,,,0.433,
2023-05-07 03:49:01 - 2023-05-07 03:50:01,,,,0.017,,,
2023-05-07 03:50:01 - 2023-05-07 03:54:01,,,,,0.067,,
2023-05-07 03:50:01 - 2023-05-07 04:38:31,,,,,,,0.808
2023-05-07 03:54:01 - 2023-05-07 04:12:01,,0.300,,,,,
2023-05-07 04:12:01 - 2023-05-07 04:38:31,,,,,0.442,,
2023-05-07 04:38:31 - 2023-05-07 04:39:01,,,,0.008,,,
2023-05-07 04:39:01 - 2023-05-07 05:21:01,,,,,0.700,,0.700
2023-05-07 05:02:41,0.960,,,,,,
2023-05-07 05:21:01 - 2023-05-07 05:22:01,,,,0.017,,,
2023-05-07 05:22:01 - 2023-05-07 05:23:01,,,,,0.017,,0.017
2023-05-07 05:23:01 - 2023-05-07 05:24:01,,,,0.017,,,
2023-05-07 05:24:01 - 2023-05-07 05:36:31,,,,,0.208,,
2023-05-07 05:24:01 - 2023-05-07 07:39:01,,,,,,,2.250
2023-05-07 05:32:52,0.960,,,,,,
2023-05-07 05:36:31 - 2023-05-07 06:01:01,,0.408,,,,,
2023-05-07 06:01:01 - 2023-05-07 07:10:31,,,,,1.158,,
2023-05-07 06:02:53,0.960,,,,,,
2023-05-07 07:10:31 - 2023-05-07 07:30:31,,0.333,,,,,
2023-05-07 07:30:31 - 2023-05-07 07:35:01,,,,,0.075,,
2023-05-07 07:35:01 - 2023-05-07 07:39:01,,0.067,,,,,
2023-05-07 07:39:01 - 2023-05-07 07:39:31,,,,0.008,,,
2023-05-07 07:39:31 - 2023-05-07 07:41:31,,0.033,,,,,0.033
2023-05-07 09:54:59,0.890,,,,,,
2023-05-07 10:57:41,0.940,,,,,,
2023-05-07 18:25:45,0.970,,,,,,
2023-05-07 19:24:16,0.870,,,,,,
2023-05-07 22:10:44,0.970,,,,,,
2023-05-08 00:07:11 - 2023-05-08 00:57:47,,,,,,,0.843
2023-05-08 01:02:15,0.930,,,,,,
2023-05-08 01:43:50 - 2023-05-08 06:50:00,,,,,,,5.103
2023-05-08 02:06:00 - 2023-05-08 02:31:00,,,,,0.417,,
2023-05-08 02:06:00 - 2023-05-08 05:32:30,,,,,,,3.442
2023-05-08 02:07:06,0.980,,,,,,
2023-05-08 02:31:00 - 2023-05-08 02:55:00,,,,,,0.400,
2023-05-08 02:55:00 - 2023-05-08 03:04:30,,,,,0.158,,
2023-05-08 03:04:30 - 2023-05-08 03:23:00,,0.308,,,,,
2023-05-08 03:23:00 - 2023-05-08 03:38:00,,,,,0.250,,
2023-05-08 03:38:00 - 2023-05-08 03:51:00,,,,,,0.217,
2023-05-08 03:40:05,0.910,,,,,,
2023-05-08 03:51:00 - 2023-05-08 03:53:30,,,,,0.042,,
2023-05-08 03:53:30 - 2023-05-08 04:34:30,,,,,,0.683,
2023-05-08 04:34:30 - 2023-05-08 04:41:30,,,,,0.117,,
2023-05-08 04:40:11,0.960,,,,,,
2023-05-08 04:41:30 - 2023-05-08 05:00:30,,0.317,,,,,
2023-05-08 05:00:30 - 2023-05-08 05:02:00,,,,,0.025,,
2023-05-08 05:02:00 - 2023-05-08 05:03:00,,0.017,,,,,
2023-05-08 05:03:00 - 2023-05-08 05:32:30,,,,,0.492,,
2023-05-08 05:10:13,0.970,,,,,,
2023-05-08 05:32:30 - 2023-05-08 05:35:30,,,,0.050,,,
2023-05-08 05:35:30 - 2023-05-08 06:20:30,,,,,0.750,,0.750
2023-05-08 05:58:31,0.950,,,,,,
2023-05-08 06:20:30 - 2023-05-08 06:21:00,,,,0.008,,,
2023-05-08 06:21:00 - 2023-05-08 06:25:00,,,,,0.067,,
2023-05-08 06:21:00 - 2023-05-08 09:32:30,,,,,,,3.192
2023-05-08 06:25:00 - 2023-05-08 06:59:30,,0.575,,,,,
2023-05-08 06:28:32,0.920,,,,,,
2023-05-08 06:58:32,0.980,,,,,,
2023-05-08 06:59:30 - 2023-05-08 07:58:00,,,,,0.975,,
2023-05-08 07:58:00 - 2023-05-08 08:17:00,,0.317,,,,,
2023-05-08 08:17:00 - 2023-05-08 09:09:30,,,,,0.875,,
2023-05-08 08:33:59,0.980,,,,,,
2023-05-08 09:04:25,0.940,,,,,,
2023-05-08 09:09:30 - 2023-05-08 09:31:30,,0.367,,,,,
2023-05-08 09:31:30 - 2023-05-08 09:32:30,,,,,0.017,,
2023-05-08 09:32:30 - 2023-05-08 09:33:30,,,,0.017,,,
2023-05-08 09:33:30 - 2023-05-08 09:40:30,,,,,0.117,,0.117
2023-05-08 09:40:30 - 2023-05-08 09:41:00,,,,0.008,,,
2023-05-08 09:41:00 - 2023-05-08 09:45:00,,,,,0.067,,0.067
2023-05-08 19:33:18,1.000,,,,,,
2023-05-08 23:15:13 - 2023-05-08 23:28:53,,,,,,,0.228
2023-05-09 01:01:40 - 2023-05-09 06:50:00,,,,,,,5.806
2023-05-09 01:07:25 - 2023-05-09 01:23:55,,,,,0.275,,
2023-05-09 01:07:25 - 2023-05-09 02:57:55,,,,,,,1.842
2023-05-09 01:22:33,0.960,,,,,,
2023-05-09 01:23:55 - 2023-05-09 01:57:55,,,,,,0.567,
2023-05-09 01:52:34,0.960,,,,,,
2023-05-09 01:57:55 - 2023-05-09 02:06:55,,,,,0.150,,
2023-05-09 02:06:55 - 2023-05-09 02:08:55,,,,,,0.033,
2023-05-09 02:08:55 - 2023-05-09 02:12:55,,,,,0.067,,
