Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2022-12-02 04:49:19,0.890,,,,,,
2022-12-02 06:26:18,0.930,,,,,,
2022-12-02 07:26:18,0.960,,,,,,
2022-12-02 08:25:19,0.960,,,,,,
2022-12-02 08:36:27 - 2022-12-02 08:47:57,,,0.192,,,,
2022-12-02 11:25:29,1.000,,,,,,
2022-12-02 16:26:40,0.980,,,,,,
2022-12-02 16:56:43,1.000,,,,,,
2022-12-03 00:15:59 - 2022-12-03 00:30:40,,,,,,,0.245
2022-12-03 00:32:35 - 2022-12-03 00:34:30,,,,,,,0.032
2022-12-03 00:35:06 - 2022-12-03 00:37:54,,,,,,,0.047
2022-12-03 00:38:41 - 2022-12-03 00:46:20,,,,,,,0.128
2022-12-03 00:49:56 - 2022-12-03 01:27:14,,,,,,,0.622
2022-12-03 01:27:37 - 2022-12-03 07:00:00,,,,,,,5.540
2022-12-03 01:53:37 - 2022-12-03 04:12:37,,,2.317,,,,
2022-12-03 02:06:40,1.000,,,,,,
2022-12-03 02:36:41,0.990,,,,,,
2022-12-03 03:06:42,0.960,,,,,,
2022-12-03 03:36:41,0.970,,,,,,
2022-12-03 04:06:42,0.960,,,,,,
2022-12-03 04:15:07 - 2022-12-03 04:20:07,,,0.083,,,,
2022-12-03 04:24:07 - 2022-12-03 04:36:07,,,0.200,,,,
2022-12-03 04:36:43,0.960,,,,,,
2022-12-03 04:37:07 - 2022-12-03 05:54:07,,,1.283,,,,
2022-12-03 05:26:15,0.960,,,,,,
2022-12-03 05:55:07 - 2022-12-03 05:57:37,,,0.042,,,,
2022-12-03 05:56:12,0.980,,,,,,
2022-12-03 05:59:07 - 2022-12-03 08:14:37,,,2.258,,,,
2022-12-03 06:56:13,0.980,,,,,,
2022-12-03 07:26:35,0.970,,,,,,
2022-12-03 07:56:36,0.980,,,,,,
2022-12-03 08:15:37 - 2022-12-03 08:41:07,,,0.425,,,,
2022-12-03 08:26:35,0.950,,,,,,
2022-12-03 08:43:07 - 2022-12-03 08:45:37,,,0.042,,,,
2022-12-03 08:48:07 - 2022-12-03 09:20:37,,,0.542,,,,
2022-12-03 08:56:35,0.960,,,,,,
2022-12-03 12:01:44,0.980,,,,,,
2022-12-03 12:59:12,0.810,,,,,,
2022-12-03 15:25:25,1.000,,,,,,
2022-12-03 17:26:25,1.000,,,,,,
2022-12-04 00:17:13 - 2022-12-04 00:39:17,,,,,,,0.368
2022-12-04 00:40:13 - 2022-12-04 00:47:50,,,,,,,0.127
2022-12-04 00:47:53 - 2022-12-04 00:55:00,,,,,,,0.119
2022-12-04 00:55:15 - 2022-12-04 00:55:17,,,,,,,0.001
2022-12-04 00:55:18 - 2022-12-04 00:55:20,,,,,,,0.001
2022-12-04 00:55:22 - 2022-12-04 01:02:16,,,,,,,0.115
2022-12-04 01:03:11 - 2022-12-04 01:22:32,,,,,,,0.322
2022-12-04 01:22:53 - 2022-12-04 02:06:08,,,,,,,0.721
2022-12-04 02:06:26 - 2022-12-04 02:07:15,,,,,,,0.014
2022-12-04 02:07:30 - 2022-12-04 02:10:56,,,,,,,0.057
2022-12-04 02:11:16 - 2022-12-04 02:12:02,,,,,,,0.013
2022-12-04 02:12:18 - 2022-12-04 02:13:24,,,,,,,0.018
2022-12-04 02:15:55 - 2022-12-04 02:17:46,,,,,,,0.031
2022-12-04 02:17:57 - 2022-12-04 02:18:50,,,,,,,0.015
2022-12-04 02:18:57 - 2022-12-04 02:22:06,,,,,,,0.052
2022-12-04 02:22:29 - 2022-12-04 02:29:12,,,,,,,0.112
2022-12-04 02:29:17 - 2022-12-04 02:34:55,,,,,,,0.094
2022-12-04 02:35:04 - 2022-12-04 02:36:35,,,,,,,0.025
2022-12-04 02:36:48 - 2022-12-04 02:37:34,,,,,,,0.013
2022-12-04 02:38:43 - 2022-12-04 02:44:23,,,,,,,0.094
2022-12-04 02:44:27 - 2022-12-04 02:44:29,,,,,,,0.001
2022-12-04 03:02:26 - 2022-12-04 03:02:28,,,,,,,0.001
2022-12-04 03:27:07,0.990,,,,,,
2022-12-04 03:28:43 - 2022-12-04 07:00:00,,,,,,,3.522
2022-12-04 03:29:07 - 2022-12-04 11:26:37,,,7.958,,,,
2022-12-04 05:31:09,0.940,,,,,,
2022-12-04 06:30:10,0.960,,,,,,
2022-12-04 07:00:11,0.940,,,,,,
2022-12-04 07:30:11,0.970,,,,,,
2022-12-04 08:00:12,0.960,,,,,,
2022-12-04 09:31:19,0.960,,,,,,
2022-12-04 10:01:19,0.950,,,,,,
2022-12-04 10:31:20,0.970,,,,,,
2022-12-04 11:01:17,0.960,,,,,,
2022-12-04 11:31:45,0.950,,,,,,
2022-12-04 14:09:44,0.970,,,,,,
2022-12-04 17:30:30,0.980,,,,,,
2022-12-05 00:16:14 - 2022-12-05 00:28:35,,,,,,,0.206
2022-12-05 00:32:03 - 2022-12-05 00:32:05,,,,,,,0.001
2022-12-05 00:35:30 - 2022-12-05 00:37:19,,,,,,,0.030
2022-12-05 00:37:55 - 2022-12-05 00:40:11,,,,,,,0.038
2022-12-05 00:42:26 - 2022-12-05 00:45:29,,,,,,,0.051
2022-12-05 00:46:09 - 2022-12-05 00:49:28,,,,,,,0.055
2022-12-05 01:10:41 - 2022-12-05 01:12:21,,,,,,,0.028
2022-12-05 01:23:19 - 2022-12-05 01:23:20,,,,,,,0.000
2022-12-05 01:41:14 - 2022-12-05 01:41:20,,,,,,,0.002
2022-12-05 02:14:48,0.960,,,,,,
2022-12-05 02:41:02 - 2022-12-05 02:44:35,,,,,,,0.059
2022-12-05 03:18:05 - 2022-12-05 07:11:05,,,3.883,,,,
2022-12-05 03:20:27 - 2022-12-05 07:00:00,,,,,,,3.659
2022-12-05 03:49:25,1.000,,,,,,
2022-12-05 04:19:26,0.950,,,,,,
2022-12-05 05:03:27,0.980,,,,,,
2022-12-05 06:03:28,0.970,,,,,,
2022-12-05 07:09:57,0.950,,,,,,
2022-12-05 07:13:35 - 2022-12-05 07:14:35,,,0.017,,,,
