Date,Environmental sound levels(dBASPL),Headphone sound levels(dBASPL),Oxygen saturation(%)
2023-06-02 03:49:49 - 2023-06-02 04:19:44,39.197,,
2023-06-02 04:14:41,,,0.950
2023-06-02 04:19:44 - 2023-06-02 04:49:39,32.815,,
2023-06-02 04:49:39 - 2023-06-02 05:19:34,59.530,,
2023-06-02 05:07:51,,,0.950
2023-06-02 05:19:34 - 2023-06-02 05:49:29,52.871,,
2023-06-02 05:37:52,,,0.950
2023-06-02 05:49:29 - 2023-06-02 06:19:24,37.242,,
2023-06-02 06:07:53,,,0.960
2023-06-02 06:19:24 - 2023-06-02 06:49:20,43.186,,
2023-06-02 06:37:54,,,0.970
2023-06-02 06:49:20 - 2023-06-02 07:19:15,66.309,,
2023-06-02 07:11:02,,,0.960
2023-06-02 07:19:15 - 2023-06-02 07:49:10,51.116,,
2023-06-02 07:49:10 - 2023-06-02 08:19:05,52.870,,
2023-06-02 07:55:43,,,0.970
2023-06-02 08:19:05 - 2023-06-02 08:49:00,58.929,,
2023-06-02 08:25:44,,,1.000
2023-06-02 08:49:00 - 2023-06-02 09:18:55,50.465,,
2023-06-02 08:55:45,,,0.880
2023-06-02 09:18:55 - 2023-06-02 09:48:50,55.538,,
2023-06-02 09:25:46,,,0.920
2023-06-02 09:48:50 - 2023-06-02 10:18:45,41.567,,
2023-06-02 09:55:46,,,0.900
2023-06-02 10:18:45 - 2023-06-02 10:48:40,63.019,,
2023-06-02 10:25:47,,,0.980
2023-06-02 10:48:40 - 2023-06-02 11:18:36,40.403,,
2023-06-02 10:55:57,,,0.970
2023-06-02 11:18:36 - 2023-06-02 11:48:36,61.210,,
2023-06-02 11:48:41 - 2023-06-02 12:18:41,78.561,,
2023-06-02 12:18:41 - 2023-06-02 12:48:36,71.507,,
2023-06-02 12:48:36 - 2023-06-02 13:18:31,75.805,,
2023-06-02 13:18:31 - 2023-06-02 13:48:26,84.544,,
2023-06-02 13:48:26 - 2023-06-02 13:49:01,100.553,,
2023-06-02 13:49:01 - 2023-06-02 14:18:56,84.069,,
2023-06-02 14:18:56 - 2023-06-02 14:48:56,82.322,,
2023-06-02 14:48:56 - 2023-06-02 15:18:56,77.329,,
2023-06-02 15:18:56 - 2023-06-02 15:48:56,71.865,,
2023-06-02 15:48:56 - 2023-06-02 16:18:51,75.895,,
2023-06-02 16:18:51 - 2023-06-02 16:48:46,80.302,,
2023-06-02 16:48:46 - 2023-06-02 17:18:46,82.345,,
2023-06-02 17:18:46 - 2023-06-02 17:48:41,76.847,,
2023-06-02 17:48:41 - 2023-06-02 18:18:36,79.507,,
2023-06-02 18:18:36 - 2023-06-02 18:48:36,78.391,,
2023-06-02 18:48:36 - 2023-06-02 19:18:31,80.198,,
2023-06-02 19:18:31 - 2023-06-02 19:48:26,84.588,,
2023-06-02 19:48:26 - 2023-06-02 19:52:56,92.433,,
2023-06-02 19:52:56 - 2023-06-02 20:21:11,87.372,,
2023-06-02 20:21:11 - 2023-06-02 20:50:51,85.564,,
2023-06-02 20:50:51 - 2023-06-02 21:12:36,88.232,,
2023-06-02 21:12:36 - 2023-06-02 21:37:01,91.350,,
2023-06-02 21:37:01 - 2023-06-02 21:49:06,89.049,,
2023-06-02 21:49:06 - 2023-06-02 22:19:01,87.805,,
2023-06-02 22:19:01 - 2023-06-02 22:49:01,75.290,,
2023-06-02 22:49:01 - 2023-06-02 23:18:56,72.533,,
2023-06-02 23:18:56 - 2023-06-02 23:48:51,65.031,,
2023-06-02 23:48:51 - 2023-06-02 23:59:06,64.951,,
2023-06-03 10:29:12 - 2023-06-03 10:59:12,57.680,,
2023-06-03 10:59:12 - 2023-06-03 11:29:12,50.901,,
2023-06-03 11:29:12 - 2023-06-03 11:59:10,61.991,,
2023-06-03 11:38:33,,,0.860
2023-06-03 11:59:10 - 2023-06-03 12:29:10,59.492,,
2023-06-03 12:29:10 - 2023-06-03 12:59:10,54.953,,
2023-06-03 12:59:10 - 2023-06-03 13:29:10,57.984,,
2023-06-03 13:20:46,,,0.990
2023-06-03 13:29:10 - 2023-06-03 13:59:10,57.489,,
2023-06-03 13:59:10 - 2023-06-03 14:29:09,63.975,,
2023-06-03 14:29:09 - 2023-06-03 14:59:09,61.108,,
2023-06-03 14:59:09 - 2023-06-03 15:29:04,57.064,,
2023-06-03 15:11:40,,,0.980
2023-06-03 15:29:04 - 2023-06-03 15:59:04,66.598,,
2023-06-03 15:59:04 - 2023-06-03 16:29:04,57.870,,
2023-06-03 16:29:04 - 2023-06-03 16:58:59,58.157,,
2023-06-03 16:58:59 - 2023-06-03 17:28:59,56.453,,
2023-06-03 17:28:59 - 2023-06-03 17:58:59,55.724,,
2023-06-03 17:55:31,,,0.990
2023-06-03 17:58:59 - 2023-06-03 18:28:59,45.981,,
2023-06-03 18:28:59 - 2023-06-03 18:58:54,48.077,,
2023-06-03 18:55:32,,,0.960
2023-06-03 18:58:54 - 2023-06-03 19:28:49,44.036,,
2023-06-03 19:28:49 - 2023-06-03 19:58:44,52.384,,
2023-06-03 19:58:44 - 2023-06-03 20:28:39,47.932,,
2023-06-03 20:26:59,,,0.970
2023-06-03 20:28:39 - 2023-06-03 20:58:34,64.266,,
2023-06-03 20:58:34 - 2023-06-03 21:28:34,58.448,,
