Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
268,"-1,393750000E1","-3,106250000E1","-4,231250000E1"
269,"-1,393750000E1","-3,037500000E1","-3,856250000E1"
270,"-1,343750000E1","-2,912500000E1","-4,312500000E1"
271,"-1,143750000E1","-3,387500000E1","-6,156250000E1"
272,"1,800000000E1","-3,593750000E1","-5,162500000E1"
273,"1,262500000E1","-3,000000000E1","-4,781250000E1"
274,"2,075000000E1","-2,193750000E1","-4,362500000E1"
275,"2,043750000E1","-2,537500000E1","-4,137500000E1"
276,"2,425000000E1","-1,881250000E1","-4,156250000E1"
277,"2,131250000E1","-1,825000000E1","-4,250000000E1"
278,"2,262500000E1","-2,037500000E1","-4,050000000E1"
279,"1,793750000E1","-3,031250000E1","-3,593750000E1"
280,"1,850000000E1","-1,575000000E1","-4,300000000E1"
281,"2,756250000E1","-2,281250000E1","-5,537500000E1"
282,"2,125000000E1","-2,918750000E1","-4,643750000E1"
283,"1,918750000E1","-2,443750000E1","-4,506250000E1"
284,"2,050000000E1","-2,262500000E1","-4,568750000E1"
285,"2,012500000E1","-1,750000000E1","-4,668750000E1"
286,"1,787500000E1","-1,931250000E1","-4,737500000E1"
287,"9,500000000E0","-2,243750000E1","-4,906250000E1"
288,"-3,750000000E0","-3,306250000E1","-5,481250000E1"
289,"5,062500000E0","-3,075000000E1","-4,487500000E1"
290,"8,875000000E0","-3,200000000E1","-4,075000000E1"
291,"1,287500000E1","-2,750000000E1","-3,631250000E1"
292,"8,500000000E0","-3,881250000E1","-3,406250000E1"
293,"5,312500000E0","-3,493750000E1","-3,843750000E1"
294,"3,500000000E0","-3,181250000E1","-3,856250000E1"
295,"2,250000000E0","-3,700000000E1","-3,262500000E1"
296,"4,062500000E0","-3,656250000E1","-3,075000000E1"
297,"4,500000000E0","-3,156250000E1","-3,312500000E1"
298,"4,125000000E0","-3,950000000E1","-3,231250000E1"
299,"5,375000000E0","-4,043750000E1","-3,268750000E1"
300,"8,750000000E0","-3,900000000E1","-3,418750000E1"
301,"6,875000000E0","-4,156250000E1","-3,081250000E1"
302,"5,687500000E0","-4,275000000E1","-2,718750000E1"
303,"5,750000000E0","-4,350000000E1","-2,668750000E1"
304,"8,000000000E0","-4,243750000E1","-2,925000000E1"
305,"1,012500000E1","-4,600000000E1","-2,406250000E1"
306,"1,287500000E1","-3,725000000E1","-3,487500000E1"
307,"6,687500000E0","-3,806250000E1","-3,456250000E1"
308,"9,875000000E0","-3,775000000E1","-3,318750000E1"
309,"1,000000000E1","-3,875000000E1","-3,343750000E1"
310,"1,406250000E1","-3,837500000E1","-3,156250000E1"
311,"1,668750000E1","-3,337500000E1","-3,062500000E1"
312,"1,700000000E1","-3,868750000E1","-2,893750000E1"
313,"1,425000000E1","-3,931250000E1","-2,950000000E1"
314,"1,475000000E1","-4,137500000E1","-2,812500000E1"
315,"1,443750000E1","-3,856250000E1","-3,081250000E1"
316,"1,356250000E1","-3,868750000E1","-3,206250000E1"
317,"1,437500000E1","-3,625000000E1","-3,475000000E1"
318,"1,262500000E1","-3,825000000E1","-3,331250000E1"
319,"1,475000000E1","-3,318750000E1","-3,781250000E1"
320,"1,468750000E1","-3,287500000E1","-3,831250000E1"
321,"1,206250000E1","-3,725000000E1","-3,456250000E1"
322,"1,331250000E1","-3,725000000E1","-3,475000000E1"
323,"2,075000000E1","-2,662500000E1","-4,093750000E1"
324,"2,512500000E1","-2,306250000E1","-4,112500000E1"
325,"2,550000000E1","-1,743750000E1","-4,318750000E1"
326,"2,425000000E1","-1,787500000E1","-4,418750000E1"
327,"2,293750000E1","-1,431250000E1","-4,562500000E1"
328,"2,156250000E1","-1,600000000E1","-4,350000000E1"
329,"1,925000000E1","-1,731250000E1","-4,625000000E1"
330,"1,200000000E1","-3,375000000E1","-3,906250000E1"
331,"1,925000000E1","-2,512500000E1","-4,293750000E1"
332,"2,512500000E1","-1,262500000E1","-4,506250000E1"
333,"2,162500000E1","-1,531250000E1","-4,600000000E1"
334,"1,925000000E1","-1,600000000E1","-4,687500000E1"
335,"1,700000000E1","-1,787500000E1","-4,787500000E1"
336,"1,643750000E1","-1,850000000E1","-4,675000000E1"
337,"1,906250000E1","-1,756250000E1","-4,643750000E1"
338,"1,843750000E1","-1,975000000E1","-4,537500000E1"
339,"1,850000000E1","-2,043750000E1","-4,531250000E1"
340,"1,750000000E1","-2,125000000E1","-4,531250000E1"
341,"1,881250000E1","-2,212500000E1","-4,443750000E1"
342,"2,050000000E1","-2,068750000E1","-4,406250000E1"
343,"1,912500000E1","-2,693750000E1","-4,043750000E1"
344,"1,231250000E1","-4,131250000E1","-2,925000000E1"
345,"1,793750000E1","-2,787500000E1","-4,125000000E1"
346,"1,818750000E1","-2,375000000E1","-4,362500000E1"
347,"1,725000000E1","-2,325000000E1","-4,481250000E1"
348,"1,137500000E1","-2,818750000E1","-4,256250000E1"
349,"1,325000000E1","-3,668750000E1","-2,825000000E1"
350,"1,668750000E1","-3,043750000E1","-3,893750000E1"
351,"1,725000000E1","-2,743750000E1","-4,193750000E1"
352,"1,987500000E1","-2,756250000E1","-4,106250000E1"
353,"1,737500000E1","-2,868750000E1","-4,168750000E1"
354,"1,550000000E1","-2,793750000E1","-4,218750000E1"
355,"1,531250000E1","-2,787500000E1","-4,293750000E1"
356,"1,387500000E1","-2,868750000E1","-4,312500000E1"
357,"9,500000000E0","-3,531250000E1","-3,793750000E1"
358,"1,387500000E1","-2,887500000E1","-4,206250000E1"
359,"1,700000000E1","-2,856250000E1","-4,131250000E1"
360,"1,787500000E1","-2,606250000E1","-4,268750000E1"
361,"1,706250000E1","-2,637500000E1","-4,200000000E1"
362,"1,550000000E1","-2,656250000E1","-4,193750000E1"
363,"1,381250000E1","-2,825000000E1","-3,956250000E1"
364,"1,187500000E1","-4,087500000E1","-2,781250000E1"
365,"1,512500000E1","-3,837500000E1","-2,975000000E1"
366,"1,637500000E1","-3,087500000E1","-3,756250000E1"
367,"1,043750000E1","-3,943750000E1","-3,081250000E1"
368,"1,487500000E1","-3,787500000E1","-3,100000000E1"
369,"1,825000000E1","-3,250000000E1","-3,531250000E1"
370,"1,706250000E1","-2,968750000E1","-3,568750000E1"
371,"1,393750000E1","-3,131250000E1","-3,593750000E1"
372,"9,250000000E0","-3,481250000E1","-3,531250000E1"
373,"1,381250000E1","-3,418750000E1","-3,550000000E1"
374,"1,581250000E1","-3,525000000E1","-3,362500000E1"
375,"1,225000000E1","-3,868750000E1","-3,050000000E1"
376,"9,062500000E0","-4,306250000E1","-2,456250000E1"
377,"1,468750000E1","-4,025000000E1","-3,081250000E1"
378,"1,487500000E1","-3,537500000E1","-3,500000000E1"
379,"1,487500000E1","-3,606250000E1","-3,256250000E1"
380,"1,543750000E1","-3,337500000E1","-3,518750000E1"
381,"1,406250000E1","-3,468750000E1","-3,606250000E1"
382,"1,050000000E1","-4,006250000E1","-3,043750000E1"
383,"1,643750000E1","-3,681250000E1","-3,225000000E1"
384,"1,575000000E1","-3,500000000E1","-3,537500000E1"
385,"1,125000000E1","-3,525000000E1","-3,593750000E1"
386,"1,300000000E1","-3,500000000E1","-3,250000000E1"
387,"1,225000000E1","-4,000000000E1","-3,006250000E1"
388,"1,343750000E1","-3,856250000E1","-3,031250000E1"
389,"1,606250000E1","-3,531250000E1","-3,381250000E1"
390,"1,362500000E1","-3,318750000E1","-3,625000000E1"
391,"1,475000000E1","-3,325000000E1","-3,425000000E1"
392,"1,537500000E1","-3,375000000E1","-3,550000000E1"
393,"1,781250000E1","-3,543750000E1","-3,443750000E1"
394,"1,106250000E1","-4,281250000E1","-2,731250000E1"
395,"1,343750000E1","-3,856250000E1","-3,250000000E1"
396,"1,175000000E1","-3,775000000E1","-3,312500000E1"
397,"-1,750000000E0","-3,543750000E1","-3,825000000E1"
398,"3,750000000E-1","-3,875000000E1","-3,600000000E1"
399,"3,812500000E0","-4,275000000E1","-2,912500000E1"
400,"5,812500000E0","-3,906250000E1","-3,300000000E1"
401,"1,000000000E0","-3,837500000E1","-3,412500000E1"
402,"3,187500000E0","-3,575000000E1","-3,675000000E1"
403,"3,562500000E0","-3,537500000E1","-3,643750000E1"
404,"1,312500000E0","-3,575000000E1","-3,387500000E1"
405,"6,000000000E0","-4,137500000E1","-2,625000000E1"
406,"6,312500000E0","-3,975000000E1","-3,106250000E1"
407,"7,250000000E0","-3,968750000E1","-3,262500000E1"
408,"6,062500000E0","-3,700000000E1","-3,406250000E1"
409,"4,500000000E0","-3,681250000E1","-3,487500000E1"
410,"-1,250000000E0","-3,281250000E1","-3,606250000E1"
411,"6,937500000E0","-4,031250000E1","-2,918750000E1"
412,"1,062500000E1","-4,168750000E1","-2,350000000E1"
413,"9,812500000E0","-3,462500000E1","-3,300000000E1"
414,"8,875000000E0","-3,687500000E1","-3,437500000E1"
415,"9,500000000E0","-4,043750000E1","-3,018750000E1"
416,"1,156250000E1","-4,000000000E1","-2,825000000E1"
417,"9,062500000E0","-3,812500000E1","-3,331250000E1"
418,"8,187500000E0","-3,412500000E1","-3,693750000E1"
419,"5,437500000E0","-3,275000000E1","-3,731250000E1"
420,"4,125000000E0","-3,512500000E1","-3,787500000E1"
421,"6,750000000E0","-3,118750000E1","-4,031250000E1"
422,"1,062500000E1","-2,843750000E1","-4,225000000E1"
423,"9,875000000E0","-2,600000000E1","-4,387500000E1"
424,"7,312500000E0","-2,868750000E1","-4,043750000E1"
425,"9,125000000E0","-2,912500000E1","-4,200000000E1"
426,"8,000000000E0","-2,818750000E1","-4,250000000E1"
427,"8,250000000E0","-2,762500000E1","-4,187500000E1"
428,"9,437500000E0","-2,918750000E1","-4,112500000E1"
429,"7,875000000E0","-2,750000000E1","-4,287500000E1"
430,"7,312500000E0","-2,912500000E1","-4,200000000E1"
431,"8,812500000E0","-2,900000000E1","-4,231250000E1"
432,"8,750000000E0","-2,975000000E1","-4,112500000E1"
433,"1,062500000E1","-3,087500000E1","-4,031250000E1"
434,"1,293750000E1","-2,906250000E1","-4,062500000E1"
435,"9,750000000E0","-3,656250000E1","-3,500000000E1"
436,"8,187500000E0","-3,481250000E1","-3,643750000E1"
437,"1,137500000E1","-3,306250000E1","-3,793750000E1"
438,"1,450000000E1","-2,975000000E1","-3,975000000E1"
439,"1,450000000E1","-2,900000000E1","-3,887500000E1"
440,"1,393750000E1","-2,850000000E1","-3,937500000E1"
441,"1,093750000E1","-2,975000000E1","-4,068750000E1"
442,"7,625000000E0","-3,343750000E1","-4,075000000E1"
443,"1,062500000E1","-3,350000000E1","-3,825000000E1"
444,"9,687500000E0","-3,312500000E1","-3,768750000E1"
445,"6,375000000E0","-3,431250000E1","-3,787500000E1"
446,"7,687500000E0","-3,312500000E1","-3,812500000E1"
447,"8,562500000E0","-3,181250000E1","-3,706250000E1"
448,"1,387500000E1","-2,750000000E1","-2,518750000E1"
449,"9,375000000E0","-2,781250000E1","-3,600000000E1"
450,"1,125000000E1","-3,368750000E1","-3,512500000E1"
451,"8,625000000E0","-3,837500000E1","-3,318750000E1"
452,"1,062500000E1","-3,900000000E1","-3,050000000E1"
453,"1,381250000E1","-3,381250000E1","-3,581250000E1"
